user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_response_time,median_response_time,std_response_time,min_response_time,max_response_time,rapid_response_count,rapid_response_pct,has_both,avg_difficulty_correct,avg_difficulty_incorrect
TM0zbujbRChHnBzPF9TOb4MpIyt2,arraylist,completed,3.0,1769194704.905344,1769195669.6672182,964.7618644237518,29.0,14.0,15.0,0.0,5.0,0.0,1769195649.9180503,1769195669.5298493,55.24197030067444,28.543765544891357,64.763827125586,7.23734974861145,219.18115234375,1.0,0.07142857142857142,True,,2.2
TM0zbujbRChHnBzPF9TOb4MpIyt2,recursion,completed,3.0,1769799543.2294722,1769800483.7797115,940.5502319335938,23.0,11.0,12.0,2.0,5.0,40.0,1769800466.583647,1769800483.641934,72.85266520760275,53.83759140968323,59.45802827914214,12.764785766601562,200.27288126945496,0.0,0.0,True,1.0,2.6666666666666665
UEFc4hISm2WWn6EhHFmCsW7MnPI3,arraylist,completed,2.0,1769187441.917009,1769187912.5366118,470.61959290504456,17.0,8.0,9.0,4.0,5.0,80.0,1769187749.139477,1769187912.3983347,14.637542843818665,9.990846037864685,13.52820385880339,3.4803531169891357,42.62935972213745,4.0,0.5,True,2.25,2.0
UEFc4hISm2WWn6EhHFmCsW7MnPI3,recursion,completed,2.0,1769792386.278385,1769793141.8998623,755.6214680671692,25.0,12.0,13.0,5.0,5.0,100.0,1769793078.6992114,1769793141.769317,51.80104949076971,56.258214712142944,37.889634298401205,6.300232172012329,142.00708055496216,1.0,0.08333333333333333,True,2.0,
UT2XX3w08wPgt6eIvWt8rzWriWF3,arraylist,completed,1.0,1769187457.7438278,1769187933.6663868,475.9225463867187,25.0,12.0,13.0,3.0,5.0,60.0,1769187867.298461,1769187933.5086896,21.32038567463557,17.95984697341919,16.040199699156837,4.32607364654541,55.14931011199951,4.0,0.3333333333333333,True,2.3333333333333335,2.0
UT2XX3w08wPgt6eIvWt8rzWriWF3,recursion,completed,1.0,1769792379.379765,1769792966.1684554,586.7886817455292,23.0,11.0,12.0,3.0,5.0,60.0,1769792919.740399,1769792966.0337367,35.00576385584745,12.630626678466797,32.58750342815027,4.277140378952026,86.31781673431396,4.0,0.36363636363636365,True,2.0,2.0
VfueDMfg7xVn4MXINPaKd1pO50N2,arraylist,completed,1.0,1769194685.9132392,1769195590.696361,904.7831144332886,17.0,8.0,9.0,2.0,5.0,40.0,1769195270.2659593,1769195590.5714557,56.64067989587784,39.21716320514679,40.506315935025135,13.164420366287231,126.5041778087616,0.0,0.0,True,3.0,1.6666666666666667
VfueDMfg7xVn4MXINPaKd1pO50N2,recursion,completed,1.0,1769799597.7329726,1769800299.040406,701.3074245452881,21.0,10.0,11.0,4.0,5.0,80.0,1769800208.0375147,1769800298.9096746,53.37676994800567,44.13513517379761,29.706651146691225,21.737496852874756,126.0179328918457,0.0,0.0,True,1.75,3.0
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,arraylist,completed,1.0,1769187189.4885569,1769187600.4787743,410.9902102947235,15.0,7.0,8.0,5.0,5.0,100.0,1769187555.7893946,1769187600.3252945,25.90478219304766,21.732158422470093,15.980834930449944,10.413960218429565,52.56739258766174,0.0,0.0,True,2.2,
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,recursion,completed,1.0,1769792347.3015938,1769792695.8482106,348.5466070175171,19.0,9.0,10.0,5.0,5.0,100.0,1769792639.26354,1769792695.7269452,22.42487695482042,15.041242361068726,17.223386388943176,6.850719928741455,49.898306131362915,4.0,0.4444444444444444,True,2.0,
X8nQivwspCSJr5An9iq1trCe7KR2,arraylist,completed,2.0,1769190876.576013,1769191460.3660452,583.7900195121765,26.0,13.0,13.0,4.0,5.0,80.0,1769191395.9359765,1769191460.2305443,33.60849358638128,29.039333820343018,24.40391508371037,5.036166191101074,90.86145186424255,2.0,0.15384615384615385,True,2.25,2.0
X8nQivwspCSJr5An9iq1trCe7KR2,recursion,completed,2.0,1769795674.7129495,1769796117.328512,442.61555457115173,21.0,10.0,11.0,5.0,5.0,100.0,1769796081.774264,1769796117.1817796,33.76753079891205,26.74685490131378,29.945559768254853,4.962358236312866,96.16601824760437,3.0,0.3,True,2.0,
Yxs6ep3KjPYkHdAqKahkafkUHZs1,arraylist,completed,1.0,1769115578.977061,1769116596.9524317,1017.9753589630128,27.0,13.0,14.0,5.0,5.0,100.0,1769116548.4442215,1769116596.8076167,62.992130096142105,56.838836669921875,40.20996025360963,8.130220651626587,127.28546237945557,1.0,0.07692307692307693,False,2.2,
ZlvLCVTICFR8tBlGbCIGv5752Lf2,arraylist,completed,2.0,1769176037.45513,1769176282.8658185,245.4106776714325,15.0,7.0,8.0,5.0,5.0,100.0,1769176258.9823074,1769176282.7309315,24.487530742372787,8.6729097366333,22.60566285846235,5.361821174621582,57.74864459037781,4.0,0.5714285714285714,False,2.2,
c2MXSYceS4XYMEnn3MAwQcQlbak1,arraylist,completed,3.0,1769187381.768291,1769188419.603442,1037.8351402282717,39.0,19.0,20.0,4.0,5.0,80.0,1769188365.5801196,1769188419.46908,39.89200869359468,29.343687295913696,29.943241630077456,11.01256012916565,127.68740010261536,0.0,0.0,True,1.75,4.0
c2MXSYceS4XYMEnn3MAwQcQlbak1,recursion,completed,3.0,1769792322.681275,1769793313.840221,991.1589357852936,25.0,12.0,13.0,4.0,5.0,80.0,1769793274.8614116,1769793312.6268525,60.97097700834274,64.05843114852905,31.471227096167016,23.05178213119507,128.4505684375763,0.0,0.0,True,2.25,1.0
c7KI5GHsSEdjcEm00XjghgtERo73,arraylist,completed,2.0,1769194645.8454664,1769195138.231636,492.3861632347107,15.0,7.0,8.0,3.0,5.0,60.0,1769195065.330779,1769195138.0987651,46.3182464327131,24.38373351097107,43.09319735774248,11.837260007858276,132.37490916252136,0.0,0.0,True,2.3333333333333335,2.0
